Orden_1,0.102218,0.10166,0.101609,0.0863713,0.101037,0.0903081,0.102953,0.100061,0.101401,0.100877,82561
Orden_2,0.233638,0.287716,0.277544,0.241663,0.304566,0.307694,0.279036,0.280897,0.278569,0.304938,328961
Orden_3,0.627461,0.611359,0.596893,0.618377,0.59507,0.643579,0.664956,0.587252,0.627416,0.674204,739201
Orden_4,2.13118,2.15609,2.14886,2.1345,2.13855,2.11307,2.09806,2.1425,2.13007,2.13322,1313281
Orden_5,5.77924,5.80688,5.74617,5.80831,5.78111,5.79491,5.75144,5.74077,5.77791,5.78215,2051201
Orden_6,12.1941,12.1476,12.2985,12.2152,12.174,12.2713,12.2267,12.1941,12.2924,12.2303,2952961
Orden_7,19.6894,19.5441,19.4709,19.5146,19.6355,19.5034,19.454,19.6627,19.4013,19.5908,4018561
Orden_8,32.2833,32.499,32.3313,32.2328,32.2723,32.4206,32.2111,32.3223,32.2302,32.5465,5248001
Orden_9,52.3038,52.4688,52.3387,52.5059,52.6577,52.3861,52.2186,52.3847,52.5874,52.8652,6641281
Orden_10,70.8259,70.4825,70.4668,70.648,70.4297,70.7326,70.9471,70.6511,70.9291,70.6646,8198401
