Orden_1,0.0797121,0.0834842,0.0811647,0.0856348,0.0837832,0.0887049,0.0849008,0.0810012,0.0850972,0.082921,33025
Orden_2,0.232395,0.226126,0.253142,0.227572,0.218789,0.234777,0.232607,0.227183,0.225676,0.227181,131585
Orden_3,0.67826,0.666401,0.662451,0.676861,0.684865,0.694976,0.659856,0.694123,0.670347,0.670835,295681
Orden_4,2.26366,2.2399,2.20276,2.1431,2.37528,2.19544,2.14508,2.26735,2.14235,2.21159,525313
Orden_5,5.53473,5.37698,5.82265,5.69075,5.3672,5.36395,5.42881,5.71746,5.51131,5.38753,820481
Orden_6,13.4867,13.3035,13.3619,13.4646,13.3051,13.5042,13.3625,13.2423,13.2133,13.3662,1181185
Orden_7,34.4419,34.9767,34.4867,34.6802,33.6432,34.1131,34.1773,34.8496,35.0935,34.6078,1607425
Orden_8,64.1968,62.6849,63.7252,64.0659,64.9879,64.3361,63.5728,63.4833,65.0311,64.4715,2099201
Orden_9,153.452,152.52,153.813,149.192,153.148,151.417,153.77,149.534,151.996,148.275,2656513
Orden_10,230.645,230.64,230.386,233.58,240.048,232.079,231.275,232.782,232.349,230.587,3279361
