Orden_1,0.337672,0.366983,0.356703,0.369472,0.35447,0.353771,0.36142,0.327433,0.358066,0.371461,12153
Orden_2,0.403726,0.39029,0.388107,0.390194,0.379991,0.399016,0.408011,0.393348,0.408961,0.401062,8297
Orden_3,0.529099,0.516194,0.527236,0.518534,0.551535,0.504944,0.492374,0.507913,0.501832,0.492446,12457
Orden_4,0.749131,0.712531,0.753673,0.715481,0.743596,0.683105,0.728314,0.701275,0.723967,0.740093,13993
Orden_5,0.92336,0.973324,0.875936,0.909504,0.893217,0.889076,0.907189,1.02885,0.888799,0.956257,15231
Orden_6,1.54071,1.47017,1.34551,1.27904,1.35533,1.40169,1.32654,1.34207,1.27911,1.24501,18211
Orden_7,1.90528,1.95558,1.9511,1.95583,1.82928,1.87643,1.94488,1.92479,1.85194,1.91721,23815
Orden_8,2.76259,2.60318,2.7383,2.67375,2.61534,2.59099,2.6481,2.77802,2.78323,2.64545,27505
Orden_9,4.27864,4.35097,4.3339,4.26413,4.3613,4.41333,4.37357,4.34985,4.36341,4.22514,35857
Orden_10,6.55584,6.40008,6.48495,6.44321,6.57674,6.39364,6.52779,6.39228,6.64046,6.46982,44441
Orden_11,11.8204,11.9756,11.953,11.9759,11.7645,11.9249,12.2426,11.8698,11.9013,11.9554,60248
Orden_12,16.0552,16.0757,16.0918,15.9856,16.1238,16.3861,15.9174,16.0368,16.0786,16.0082,66001
Orden_13,24.6067,24.5463,24.6597,24.6541,25.058,24.5616,24.5375,24.9357,24.3989,24.6493,79587
Orden_14,34.3236,34.3318,34.4757,34.5588,34.1588,34.1153,34.2969,34.3164,34.2458,34.3484,86759
Orden_15,53.8959,52.909,53.0845,53.016,52.978,53.4722,53.2635,53.0769,53.6799,53.3788,99766
Orden_16,84.1315,84.7222,84.8891,84.1974,84.3006,84.3372,84.556,84.239,84.3196,84.3756,125649
Orden_17,108.687,108.472,109.689,108.825,109.506,108.232,108.537,108.859,108.901,109.012,133553
