Thread_1,0.667891,0.670606,0.675928,0.667587,0.668289,0.672328,0.668534,0.672895,0.674742,0.676512,
Thread_2,0.494387,0.497777,0.500603,0.488761,0.496124,0.492586,0.49477,0.491733,0.491959,0.489478,
Thread_3,0.36687,0.367529,0.372689,0.364638,0.364293,0.365343,0.361924,0.37149,0.363487,0.368124,
Thread_4,0.296766,0.300266,0.304738,0.299233,0.2959,0.303552,0.298532,0.31484,0.3106,0.304165,
Thread_5,0.259018,0.259392,0.264936,0.273059,0.277531,0.278294,0.257719,0.271345,0.259487,0.298841,
Thread_6,0.244275,0.264719,0.255831,0.254165,0.258244,0.26519,0.247698,0.254228,0.240482,0.265819,
Thread_7,0.219067,0.24559,0.257474,0.272134,0.257468,0.238546,0.235667,0.241176,0.308965,0.249301,
Thread_8,0.21926,0.242026,0.272447,0.22493,0.315496,0.246979,0.223477,0.249493,0.246191,0.275327,
Thread_9,0.298717,0.293211,0.28526,0.295943,0.28377,0.294585,0.318003,0.29267,0.298021,0.293654,
Thread_10,0.293309,0.307362,0.331851,0.284257,0.298867,0.27471,0.286627,0.303573,0.297564,0.284049,
Thread_11,0.286998,0.277651,0.283262,0.287698,0.293465,0.283277,0.308239,0.277848,0.297999,0.271904,
Thread_12,0.268877,0.276944,0.278112,0.280575,0.282016,0.274904,0.284389,0.272239,0.281102,0.283631,
Thread_13,0.28188,0.273629,0.285426,0.268691,0.280835,0.290364,0.270297,0.266812,0.266724,0.269351,
Thread_14,0.328941,0.312202,0.279664,0.281923,0.269157,0.288863,0.271395,0.290681,0.272857,0.290873,
Thread_15,0.278625,0.287778,0.29984,0.3005,0.262335,0.290164,0.284694,0.293321,0.305371,0.284499,
Thread_16,0.330747,0.399242,0.319588,0.662873,0.320504,0.322122,0.339251,0.478354,0.295715,0.303926,
