Thread_1,416.103,413.271,414.025,414.063,414.359,
Thread_2,216.088,214.831,216.304,215.68,216.703,
Thread_3,145.928,145.204,147.073,146.637,146.172,
Thread_4,106.231,106.718,107.071,107.225,107.061,
Thread_5,83.6502,84.058,85.4549,85.8493,86.0557,
Thread_6,72.5902,72.4735,72.5668,72.3078,72.2807,
Thread_7,61.6943,62.2307,64.3864,61.7216,61.6191,
Thread_8,55.0115,54.938,54.8415,54.7976,54.9169,
Thread_9,50.522,50.1464,50.5425,50.6567,50.4465,
Thread_10,45.5385,45.5671,45.5799,45.2738,45.2354,
Thread_11,41.9656,41.7315,40.5843,42.1692,42.0395,
Thread_12,39,38.7638,38.9555,38.9651,39.0456,
Thread_13,36.371,36.4902,37.3368,38.257,36.3772,
Thread_14,34.3371,34.3041,34.3831,34.2998,35.0261,
Thread_15,32.8038,32.85,32.6588,32.7931,32.5459,
Thread_16,31.0999,31.104,31.0897,31.0958,31.01,
Thread_17,29.637,29.8545,29.8196,29.622,29.7804,
Thread_18,28.2847,28.4642,28.2357,28.3377,28.2861,
Thread_19,27.1885,27.2455,27.1939,27.2342,27.2547,
Thread_20,26.0166,26.0761,26.0434,25.9758,26.0167,
Thread_21,25.0879,25.1317,25.139,25.119,25.1623,
Thread_22,24.1197,24.3103,24.1974,24.2634,24.244,
Thread_23,23.7575,23.7649,23.6423,23.7526,23.6809,
Thread_24,22.9731,23.0181,23.024,22.9964,22.9503,
Thread_25,22.4161,22.4954,22.4545,22.4943,22.624,
Thread_26,21.6684,21.592,21.6014,21.5727,21.6621,
Thread_27,21.1295,21.2541,21.2104,21.182,21.1032,
Thread_28,18.4484,18.3751,18.5372,18.5299,18.331,
Thread_29,17.6868,17.7307,17.7292,17.7883,17.6749,
Thread_30,17.2901,17.5419,17.425,17.4454,17.4204,
Thread_31,17.2827,17.1387,17.1005,17.2046,17.2052,
Thread_32,17.0736,16.9667,17.0183,16.7379,16.7951,
Thread_33,22.3712,22.2031,22.4374,22.4494,22.2475,
Thread_34,22.6927,22.6964,22.4422,22.4132,21.8372,
Thread_35,21.9827,21.9971,22.0578,21.9848,21.8293,
Thread_36,21.6356,22.0666,21.8787,21.9865,21.7603,
Thread_37,21.6462,21.8957,21.8056,21.636,21.4354,
Thread_38,21.4369,21.5446,21.3535,21.0856,21.136,
Thread_39,20.6361,21.1953,21.0617,20.7293,20.8312,
Thread_40,20.6866,20.7028,20.6933,20.5831,20.7946,
Thread_41,20.6204,20.3937,20.3534,20.2939,22.179,
Thread_42,20.1288,20.232,20.0066,20.2505,20.1859,
Thread_43,19.9951,19.8266,19.897,19.709,19.8731,
Thread_44,19.5497,19.6341,19.811,19.7472,19.7087,
Thread_45,19.4217,19.3818,19.3643,19.516,19.5608,
Thread_46,19.352,19.25,19.2649,19.2423,19.3447,
Thread_47,19.1573,19.1553,19.2262,19.1444,19.0344,
Thread_48,18.9789,19.0262,19.0098,18.9762,19.066,
Thread_49,18.9321,18.9554,18.8567,18.8483,19.0129,
Thread_50,18.7979,18.7051,18.7967,18.7281,18.7287,
Thread_51,18.5192,18.4595,18.5494,18.5996,18.5647,
Thread_52,18.4631,18.4093,18.9721,19.8727,20.3548,
Thread_53,20.2033,20.0448,20.2133,20.0839,18.2028,
Thread_54,17.9678,17.9608,17.9396,17.9782,18.0602,
Thread_55,17.9913,17.9742,18.072,17.9645,18.1863,
Thread_56,17.999,18.0568,17.9983,17.934,18.0914,
Thread_57,17.8925,17.9352,18.0263,17.9781,17.8385,
Thread_58,17.6382,17.6822,17.6282,17.6713,17.6597,
Thread_59,17.5935,17.6447,17.6072,17.4734,17.5167,
Thread_60,17.4492,17.5241,17.5028,17.4304,17.4535,
Thread_61,17.4856,17.5485,17.3906,18.1247,17.5136,
Thread_62,17.3653,17.5607,17.6471,17.3729,17.4624,
Thread_63,17.6737,17.8119,17.6048,17.817,17.6976,
Thread_64,18.7108,18.284,18.6019,18.7688,18.6742,
